code,pctl,evaluationperiod_pctl,speed,evaluationperiod_speed,goal,indicatorcode,indicatorname,value,orig_value,diff,more_is_better,target_value
MLI,60-80,2015-2022,1.225359968,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),53,37.6,15.4,1,100
MMR,60-80,2015-2022,1.157470932,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),73.7,60.5,13.2,1,100
PAK,60-80,2015-2022,1.107458011,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),95,91,4,1,100
PRK,60-80,2015-2022,1.163124009,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),54.7,40,14.7,1,100
SDN,60-80,2015-2022,1.214024364,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),63.2,48,15.2,1,100
TZA,60-80,2015-2022,1.667589238,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),45.8,26.2,19.6,1,100
VUT,60-80,2015-2022,1.465546988,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),70,52.3,17.7,1,100
ZMB,60-80,2015-2022,1.372504868,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),47.8,31.1,16.7,1,100
ZWE,60-80,2015-2022,1.325939323,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),50.1,33.7,16.4,1,100
BEN,80-100,2015-2022,2.192524913,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),56.5,29.6,26.9,1,100
BGD,80-100,2015-2021,7.603552003,2015-2021,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),99,74,25,1,100
BLZ,80-100,2015-2022,3.201568742,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),98.6,91.8,6.8,1,100
BOL,80-100,2015-2021,3.815775818,2015-2021,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),98.6,91.5,7.1,1,100
COM,80-100,2015-2022,2.057091615,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),89.9,74.1,15.8,1,100
CPV,80-100,2015-2022,2.919816042,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),97.1,86.4,10.7,1,100
ETH,80-100,2015-2022,2.128180857,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),55,29,26,1,100
GTM,80-100,2015-2021,3.235740262,2015-2021,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),97.9,90.5,7.4,1,100
IND,80-100,2015-2020,3.256451542,2015-2020,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),96.5,88,8.5,1,100
KEN,80-100,2015-2022,2.884579271,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),76,41.6,34.4,1,100
KHM,80-100,2015-2022,3.597981176,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),92.3,62.7,29.6,1,100
MHL,80-100,2015-2020,3.905631191,2015-2020,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),98.3,92.1,6.2,1,100
NPL,80-100,2015-2022,1.49099213,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),91.3,82,9.3,1,100
PHL,80-100,2015-2022,1.411678321,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),94.8,89.1,5.7,1,100
RWA,80-100,2015-2022,2.384272399,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),50.6,22.8,27.8,1,100
SLB,80-100,2015-2022,1.818921425,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),76,55.1,20.9,1,100
SLV,80-100,2015-2021,1.642477277,2015-2021,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),97.9,95.4,2.5,1,100
SUR,80-100,2015-2022,3.117591629,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),99,95,4,1,100
SWZ,80-100,2015-2022,1.792847181,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),82.3,64.1,18.2,1,100
TLS,80-100,2015-2020,6.190851185,2015-2020,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),96,67.3,28.7,1,100
UGA,80-100,2015-2022,2.580787707,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),47.1,18.5,28.6,1,100
ALB,0-20,2015-2022,0.103930461,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",9.4,9.6,-0.2,0,0
DZA,20-40,2015-2022,0.672325288,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",21.8,25.3,-3.5,0,0
ATG,20-40,2015-2022,0.670938562,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",9.5,10.9,-1.4,0,0
BHS,0-20,2015-2022,0.386129813,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",12.9,14,-1.1,0,0
BEN,20-40,2015-2022,0.820832824,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",80.8,97.4,-16.6,0,0
BIH,20-40,2015-2022,0.348214286,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",6,6.4,-0.4,0,0
BRA,20-40,2015-2022,0.593820652,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",14,15.9,-1.9,0,0
VGB,20-40,2015-2022,0.758471096,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",13.1,15.4,-2.3,0,0
BRN,0-20,2015-2022,0.100281492,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",9.7,9.9,-0.2,0,0
CAN,20-40,2015-2021,0.870681633,2015-2021,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",5,5.4,-0.4,0,0
CAF,20-40,2015-2022,0.750398266,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",96.8,114.8,-18,0,0
CRI,20-40,2015-2022,0.787174089,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",7.7,9,-1.3,0,0
CUB,0-20,2015-2022,-1.42330437,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",8,6.1,1.9,0,0
DMA,0-20,2015-2022,-0.770350946,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",32.2,27.1,5.1,0,0
DOM,0-20,2015-2022,0.355850017,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",32.4,35.1,-2.7,0,0
FJI,0-20,2015-2022,-1.26449983,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",28.2,21.3,6.9,0,0
GEO,20-40,2015-2022,0.595451064,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",9.3,10.5,-1.2,0,0
GRD,0-20,2015-2022,-0.300260811,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",16,15,1,0,0
GIN,0-20,2015-2022,0.693825321,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",96,112.4,-16.4,0,0
HTI,20-40,2015-2022,0.922426496,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",56.5,69.7,-13.2,0,0
JAM,0-20,2015-2022,-0.024421808,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",18.8,18.7,0.1,0,0
KEN,0-20,2015-2022,0.638803557,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",41.1,47.5,-6.4,0,0
KIR,0-20,2015-2022,0.198126099,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",56.4,59,-2.6,0,0
KWT,0-20,2015-2022,0.281556777,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",8.6,9.1,-0.5,0,0
LBN,0-20,2015-2022,-1.470693979,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",17.4,12.7,4.7,0,0
LSO,0-20,2015-2022,0.564192427,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",72.2,82.1,-9.9,0,0
LBR,20-40,2015-2022,0.813572632,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",73.2,88.1,-14.9,0,0
MDG,0-20,2015-2022,0,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",65.8,65.8,0,0,0
MYS,0-20,2015-2022,0.192264257,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",7.8,8.1,-0.3,0,0
MLI,20-40,2015-2022,0.907914742,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",93.8,115.3,-21.5,0,0
MUS,0-20,2015-2022,-0.126086957,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",15,14.6,0.4,0,0
MDA,0-20,2015-2022,0.438940095,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",14.2,15.6,-1.4,0,0
NAM,20-40,2015-2022,0.856028207,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",37.9,46,-8.1,0,0
NER,0-20,2015-2022,0.332974475,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",117.3,126.5,-9.2,0,0
NGA,0-20,2015-2022,0.718995536,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",107.2,126.2,-19,0,0
OMN,0-20,2015-2022,0.312395266,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",10.5,11.2,-0.7,0,0
PLW,0-20,2015-2022,-0.229462324,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",22.3,21.2,1.1,0,0
PER,0-20,2015-2022,0.549644774,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",15.1,17,-1.9,0,0
PHL,0-20,2015-2022,0.064661462,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",27.5,27.9,-0.4,0,0
WSM,20-40,2015-2022,0.640369434,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",16.1,18.5,-2.4,0,0
SYC,0-20,2015-2022,0.032251082,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",14.5,14.6,-0.1,0,0
SVK,20-40,2015-2022,0.269642857,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",5.9,6.2,-0.3,0,0
ZAF,0-20,2015-2022,0.405247872,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",34.5,37.8,-3.3,0,0
SSD,0-20,2015-2022,0,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",98.8,98.8,0,0,0
KNA,20-40,2015-2022,0.771875769,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",15.4,18.2,-2.8,0,0
LCA,0-20,2015-2022,0.131120731,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",17.3,17.8,-0.5,0,0
TON,20-40,2015-2022,0.618456172,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",10.9,12.4,-1.5,0,0
TKM,0-20,2015-2022,0.223977655,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",40.4,42.5,-2.1,0,0
UKR,20-40,2015-2022,0.501845747,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",8.5,9.4,-0.9,0,0
USA,20-40,2015-2022,0.407096172,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",6.3,6.8,-0.5,0,0
VUT,20-40,2015-2022,0.653391194,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",18.2,21,-2.8,0,0
VEN,0-20,2015-2022,-1.074284747,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",24.2,19.1,5.1,0,0
VNM,0-20,2015-2022,0.344719698,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",20.3,21.9,-1.6,0,0
YEM,20-40,2015-2022,0.78121422,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",41.3,49.3,-8,0,0
ZMB,20-40,2015-2022,0.884611602,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",55.6,68,-12.4,0,0
AFG,40-60,2015-2022,1.015062372,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",57.7,72.7,-15,0,0
ARG,40-60,2015-2022,1.105662022,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",9.4,11.8,-2.4,0,0
BHR,40-60,2015-2022,0.817200564,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",6.5,7.6,-1.1,0,0
BRB,40-60,2015-2022,0.950587697,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",10.9,13.3,-2.4,0,0
BTN,40-60,2015-2022,1.160700068,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",23.7,30.7,-7,0,0
BWA,40-60,2015-2022,1.005905274,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",38.7,48.6,-9.9,0,0
BFA,40-60,2015-2022,1.064248751,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",78.8,100.4,-21.6,0,0
CMR,40-60,2015-2022,1.081832587,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",69.8,89.3,-19.5,0,0
TCD,40-60,2015-2022,0.982253154,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",102.9,128.6,-25.7,0,0
COL,40-60,2015-2022,1.07914112,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",12.4,15.6,-3.2,0,0
COM,40-60,2015-2022,1.064875881,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",48.2,61.4,-13.2,0,0
COD,40-60,2015-2022,1.026309688,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",75.6,95.5,-19.9,0,0
COG,40-60,2015-2022,1.059530645,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",41.6,52.9,-11.3,0,0
CIV,40-60,2015-2022,0.956967832,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",69.4,86.3,-16.9,0,0
DJI,40-60,2015-2022,1.002930076,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",51.9,65.2,-13.3,0,0
ECU,40-60,2015-2022,1.065998989,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",12.2,15.3,-3.1,0,0
EGY,40-60,2015-2022,1.130255025,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",18.1,23.2,-5.1,0,0
GNQ,40-60,2015-2022,1.06295036,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",73.4,93.5,-20.1,0,0
ERI,40-60,2015-2022,1.048920032,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",36.6,46.4,-9.8,0,0
SWZ,40-60,2015-2022,1.051114941,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",50,63.5,-13.5,0,0
GTM,40-60,2015-2022,1.128834612,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",22.1,28.4,-6.3,0,0
GNB,40-60,2015-2022,1.087317729,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",71.9,92.1,-20.2,0,0
GUY,40-60,2015-2022,0.976568356,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",26.6,33.1,-6.5,0,0
HND,40-60,2015-2022,1.138147685,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",16,20.5,-4.5,0,0
IDN,40-60,2015-2022,1.151951798,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",21.3,27.5,-6.2,0,0
IRQ,40-60,2015-2022,1.020918073,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",23.5,29.5,-6,0,0
JOR,40-60,2015-2022,1.00376537,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",14.1,17.5,-3.4,0,0
KAZ,40-60,2015-2022,0.991300722,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",9.7,11.9,-2.2,0,0
PRK,40-60,2015-2022,0.988915156,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",17,21.1,-4.1,0,0
KGZ,40-60,2015-2022,1.138789934,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",17.3,22.2,-4.9,0,0
MLT,40-60,2015-2022,0.891373216,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",5.6,6.6,-1,0,0
MHL,40-60,2015-2022,0.962779706,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",28.6,35.5,-6.9,0,0
MRT,40-60,2015-2022,0.98515065,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",39.2,49,-9.8,0,0
MEX,40-60,2015-2022,1.103227732,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",12.8,16.2,-3.4,0,0
FSM,40-60,2015-2022,1.007976239,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",24.2,30.3,-6.1,0,0
MOZ,40-60,2015-2022,0.982446848,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",66.2,82.8,-16.6,0,0
MMR,40-60,2015-2022,1.086732722,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",40.1,51.3,-11.2,0,0
NRU,40-60,2015-2022,0.99345511,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",26.5,33.1,-6.6,0,0
NIC,40-60,2015-2022,1.101377345,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",15.2,19.3,-4.1,0,0
PAK,40-60,2015-2022,0.971313934,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",61,76.1,-15.1,0,0
PNG,40-60,2015-2022,0.962796024,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",41.4,51.5,-10.1,0,0
PRY,40-60,2015-2022,1.091926745,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",17.4,22.1,-4.7,0,0
RWA,40-60,2015-2022,1.00434758,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",38,47.7,-9.7,0,0
SRB,40-60,2015-2022,1.174963342,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",5.1,6.3,-1.2,0,0
SLB,40-60,2015-2022,1.001247534,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",18.3,22.8,-4.5,0,0
SOM,40-60,2015-2022,0.98278085,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",106.1,132.6,-26.5,0,0
SDN,40-60,2015-2022,0.994640812,2015-2022,3,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",51.6,64.7,-13.1,0,0
